Reviewer,Review,Review Score,Review Like,Review date
toadwriter,"a feel-good movie The Intern centers around an elderly guy who gets hired by an upstart company, which only seems to employ millennials. Apparently someone threatened them with ageism, so they decided to start a Senior Intern program --- something I've never heard of.

That to me is at the heart of what makes this movie great. I mean, there either are companies out there using the concept of senior interns, or this movie's premise is completely original and I love originality.

Concept aside, I imagine the script is a page-turner, because it's a movie that sucks me in and makes me interested in what's going to happen next.

First this old intern gets a job with young whippersnappers, he's assigned to the owner of the company, she wants nothing to do with him, but their relationship begins to evolve when the old guy spots her driver sipping from a bottle before he has to take Jules somewhere. So ""Ben"" confronts him and the driver takes the day off (never to return).

Ben ends up chauffeuring for Jules and later he shares a tasters choice moment in which he tells Jules the building they work in is the same one he worked in for 40 years.

There are so many good moments in the film that I don't want to rehash, but if you like feel-good, I'd recommend this. Manly men probably won't like this because there really isn't any ""cool"" stuff, but I've seen the movie multiple times and haven't gotten sick of it.", 10/10,"2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",1 December 2020
tolis01,"It is a pity to waste such a great idea Not a comedy, not a drama, unfortunately this film fails in the end to entertain. Even though the main idea is brilliant, the script unfortunately fails to deliver. There are at least four(4) parallel subplots going on: i) the retired widowed executive wishing to stay active, ii) a startup growing too fast for its founders to cope with, facing the urge of installing an external CEO, iii) the romance the ""intern"" finds and iv) the price the founder of the start-up needs to pay in the personal front with the husband cheating on her. Apparently the creators of the film wanted to see the plot in its holistic dimension, forgetting they just had 120min of film (too much for a comedy anyhow) to convey it to the audience.

It is a pity, because the same set of actors could have delivered the perfect family experience; entertaining even moving; they just needed a different script.", 2/10,"33 out of 59 found this helpful. Was this review helpful? Sign in to vote.
Permalink",22 December 2015
debouleau,"Watch this. This is one of those very, very few films that left me with so much happiness that I kept smiling throughout the credits, reading each and every name of every person who contributed to this wonderful work of art.

And I'm still smiling after it ended and yes, using a handkerchief to wipe away some tears. Just sitting here, thinking back, memorizing those lovely and touching moments that fill The Intern.

From the script to the acting and soundtrack to the perfect little details in every scene and the way emotion just flows throughout it all, I just cannot recommend this enough.

Please do yourself a favour and watch this with an open mind-and especially an open heart. Don't watch the trailer or read reviews that contain spoilers, just let yourself be immersed in the story as it unfolds.", 9/10,"3 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",16 August 2023
Jo-Ropke,"""You talking' to me?"" This is the kind of movie I (like to) watch when sitting in a 10 hours flight, it kills time, you don't have to bother about the background noise of the engines muffling some beautiful score, you won't wake up your neighbors by laughing out loud and it's so boring that you do not need anything artificial to fall asleep. Somewhere in the movie De Niro talks to himself in the mirror... I couldn't but see his younger version in Taxi Driver and for 1 second I was hoping that he WOULD say his famous line, then we would all have been reassured that it was all just a big parody, but he didn't (of course) and everything went downhill further along. Two stars nevertheless because De Niro does what he does best, do the De Niro and Ann Hathaway is not that bad an actress.
9 out of 15 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 5/10,"9 out of 15 found this helpful. Was this review helpful? Sign in to vote.
Permalink",3 February 2016
Lenobia,"Robert De Niro was a delight! Such a lovely movie that underlines the importance of selflessness, patience, sensitivity, staying centered and calm in every situation. I love it that you can read every emotion from Robert De Niro's facial gestures, and his character in the movie. It takes you to the times of the real gentlemen walking earth. Funny enough, I personally also identified with Anne Hathaway's role so much as a young woman entrepreneur. It's lovely that they pointed out the difficulties of being in such position in life as a young, strong woman. An absolutely great movie made, so much appreciated. Cheers to everyone contributed!
2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",5 June 2022
FeastMode,"my notes This was a nice movie with a nice story and good acting by the leads. It had some funny parts but also had jokes fell flat or were corny, possibly just not my type of comedy, But it did make me laugh and I enjoyed it somewhat. It also had some extensive sappy girly parts, which I didn't mind at first but then it started getting old. I would probably recommend this to my mom (1 viewing)
2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 2/10,"2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",26 June 2019
thesar-2,"Internally Spectacular Let's begin with some very special quotes that I hope you'll catch the reference as instantly as I did:

""And Rachel? Have a great wedding,"" says Jules (Anne Hathaway) and ""You're calling me 'Ace?' That's like super cool,"" Jules to Ben (Robert De Niro.)

Truly, while I caught these, I might have missed so many more wonderful homages to these actor's other works. The first one, about the wedding, happened extremely early on and set the stage of me loving this film. In fact, I couldn't stop raving about it all day at work today after watching it last night.

I do like Robert De Niro, though he hasn't always been in great roles or movies and for the most part, he's played the same character. The 72- year-old actor might as well had his screen debut here. He was fresh, interesting and just perfect in the role of such an incredible character. I praise both De Niro's acting and the part of Ben.

While I also loved the entire movie, Ben's genuine senior intern stole my heart as he did for all the other character that rightfully flocked to him. He was playing a 70-year-old who I would incredibly proud to be like when I reach that age in (gulp) under several decades. He was smart (waaay smart) with his money for his retirement, he didn't let anything get him down, he was always curious to learn more, set in his ways without judgment of anyone else and most importantly, he always put others first. He was human and perfect at the same time.

Beautiful – strike that, gorgeous – Anne Hathaway also was very good in her role, though even with her beauty, De Niro simply stole every scene from her. Not to take anything away from her, as she wasn't just crucial to the plot, but she still gave 100%. The remaining cast, including the always lovely and wish-we-could-see-more-of Rene Russo, the always cute Adam DeVine and Christina Scherer, were all wonderful to watch as well.

Beyond the cast, the script, direction and cinematography all made the just over two hour film a breeze and never ceased to make me smile. It was hilarious, touching though never unconvincing and certainly moving with the example Ben leads.

Retired Ben did everything he wanted to early in his retirement, but when the freshness wore off, he was afraid to whiter away. Fortunately, he found a new spark as a ""Senior Intern"" in a completely opposite young adult internet firm. At first, no one, including Jules, knew how to take him, but good ole Ben, unintentionally became the star, friend and mentor to everyone there.

In no way did this movie feel unrealistic, or misguided to what could happen. It was so well written and driving, you could feel as if you were there in that office with him. You'd want to be there. You'd want to be Ben's peer and friend.

Another plus is that this was an adult comedy with minimal adult themes or gross out moments just to get the young men giggling. While I don't mind the crude humor films, à la Seth Rogen's romps, it was thoroughly refreshing to have an adult comedy that didn't need it, care for it or use it as a crutch. Like Ben, it was pleasantly professional.

This isn't just a movie to see. It's to buy and rewatch many times. I know I can't wait to see it again and maybe remember the good ole ways that I wasn't even a part of.

***

Final thoughts: Yes, and I'm sure this is true for many, Ben reminded me of my father. Many of his characteristics, mannerisms, old school methods and official politeness that my father shares blended into my life as well. I am not as old as Ben, as established above, but I believe I saw 100% of where all of Ben's habits, words and emotions came from. Growing up with my dad – who will be the same age as De Niro's character in a couple of months, I saw his life from where he was raised and what he was taught, right from wrong, how to treat people and even carrying the handkerchief. It was a nice reminder of my pop and maybe I should give him a call now", 10/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9 February 2016
juraj-jerkovic,"She is the centre of the universe Thats what the film is about. And everyone should adapt their lives for her hapiness and success and be happy to do so. And thats what they do in the film. Its a 100% chick movie pampering to present female fantasies about life full of unrealistic characters. De Niro was interesting in the beginning but than he becomes the daddy who supports his special princess girl.
2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 October 2021
Aasemoon,"Movie with an actual message, for a change! It had been a while since I last saw a movie that was actually trying to teach you something. A movie with a real message. And there was more than just one here, this movie had so much to say! So much that we forget about these days, so much that we need to relearn. Enjoyed watching this so much.
2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 3/10,"2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9 July 2020
ccorral419,"You're never to old to intern! Director/Writer Nancy Meyers (""It's Complicated,"" ""The Holiday,"" ""Somethings Gotta Give"") returns to the big screen with yet another mature family fun film about a senior (the ever so cool Robert DeNiro) coming back into the working world of twenty-somethings and workaholic Jules (the always beautiful Anne Hathaway). Hathaway's character isn't far from her ""Devil Wears Prada"" spin, yet she understands these frazzled characters so well. Meyers not only understands how to present a relatable story, she perfectly fills the ensemble rolls with quality and memorable characters, including Rene Russo, Anders Holms (Workaholics - TV), Andrew Rannellis (GIRLS), Adam DeVine (Modern Family), Zack Perlman (Married), Christina Scherer, and veteran favorites Linda Lavin and Celia Weston (Alice) to name a few. ""The Intern"" doesn't solve any ""senior/retirement"" moments, but it does remind one life isn't over until it's over. This film has Nancy Meyers written all of it, and that's a good thing!
5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"5 out of 9 found this helpful. Was this review helpful? Sign in to vote.
Permalink",15 October 2015
kdavies-69347,"Girlfriend loved it, I hated it. I watched this movie last night with my girlfriend (who is a film major), and she loved this one. I'm not sure what this movie was trying to achieve. I suppose more than anything it could be classified as an emotion film, but it goes about evoking it in the wrong way.

Robert DeNiro portrays the confident, hard working Ben Whittaker. Now in his 70's, he's retired and widowed, and in the position of having too much time on his hands. His life is stagnant and he doesn't really know what to do with himself anymore. Enter Jules Ostin (Ann Hathaway), successful, confident entrepreneur running a multi-million dollar website/ clothing company. A savvy-minded person, summarized easily as a successful hipster with too much on her plate. Her company, also full of hipsters with less acumen put out an advert for a 'senior-intern' or rather an old person for the office work to make them feel useful. Ben responds, gets the job, and becomes close friends with the boss.

What I didn't enjoy about this movie was the over the top scenes that were just notably devoid of the proper emotional content. Ben becomes her confidant, best friend, and business partner in a few ways. The connection between the two is supposed to be one of friendship and understanding. But on screen it seems like nothing built up to that moment. One minute they are strangers, in the next moment best friends, missing any real emotional built up. Jules husband, a kind of out of shape former businessman, doesn't seem to care about his wife in his most emotional scene. It was watching an actor trying to cry really really hard, and I couldn't connect at all. Not to mention Anne Hathaway's response is the most inappropriate garbage I've ever seen. I know people who react stronger when the girl at Starbucks get's their order wrong! The rest of the dialogue consists of cliché after cliché, and I got bored after about 5 minutes after he starts his internship.

Personally it was nice to see DeNiro in his old age, acting as a sweet and lovable guy. It shows a real range in acting from his youth. A man who has been in the film industry this long deserves credit for carrying this thinly veiled attempt to make a quick buck from those of you looking for a movie to see on date night.

Sorry guys, but be prepared to snooze.

3/10", 1/10,"7 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink",3 February 2016
Turfseer,"De Niro-Hathaway chemistry warms the heart The Intern managed to garner only a 51 score on Metacritic. Why so? Written and directed by Nancy Meyers, whose ""It's Complicated"" I also admired, the film begins with a voice-over by one of the story's protagonists, Ben Whittaker (Robert De Niro), a 70 year old widower whose life is empty due to the loss of his wife. At first he informs us being on his own for the first time in years was exciting, as he was able to travel around the world and experience new things. But once home, despite attempting to keep busy, he still feels alone. Participating in seemingly uplifting activities such as weekly tai chi classes provides little solace as it does nothing to provide the companionship and a purpose in life which he so craves.

Remarkably, the voice-over is revealed to be a video pitch, as Ben is applying to a Senior Citizen intern program at About the Fit, an online fashion startup founded and run by Jules Ostin (Anne Hathaway), a thirtyish bundle of energy whose workaholic ways jeopardize her family life at home (consisting of a husband and very cute young daughter).

If Ben's finding of the notice for the senior citizen intern program is the inciting incident, the ""call to adventure"" occurs after Ben passes all the interviews at the firm and is hired to be one of four interns. It's no accident that Ben finds that Jules's new internet startup is in the same building as his old employer, a defunct phone book manufacturer. In many ways, Ben retains the ""talismans"" of his old world—his sage advice to many of the young male employees is always to keep a handkerchief in one's possession at all times, as it might come in handy to comfort a weeping female who might experience an emotional upset at an inopportune time.

Just as the young employees at the startup warm up to Ben, who is at heart a good guy, Jules at her core is also quite sweet. She has a ""save the cat"" moment (the moment in the first act of a screenplay when the protagonist performs a good deed, highlighting a good nature). This occurs when Jules promises a customer that she'll personally call the vendor who screwed up an order involving bridal gowns, have the gowns sent in time for the wedding and then refund the customer's money.

When Ben is assigned to be Jules' personal intern, this gives him an opportunity to play the part of mentor (or father figure) to Jules and become (as he puts it during the initial narration) ""whole again."" When he spies Jules' chauffeur drinking on the job, he orders him not to drive her, thus saving her from harm.

In an even more telling moment during the first half of the second act, Jules asks one of her aides to have Ben transferred because she fears he's ""too observant."" Jules fears intimacy and hides under the mask of the driven boss. After two days of finding herself warming up to Ben, she forgets about her earlier request to have him transferred and finds herself apologizing to Ben after her aide carries out her earlier (but no longer extant) wishes.

We might conclude that Jules too has experienced a loss and, like Ben, seeks to become ""whole."" Would it be too much of a stretch to conclude that Jules's intimacy problem stems from competition with her mother for the love of her father—and that she identifies with the father who might have been an over-achiever like her? Indeed, it's the comic machinations at the midpoint that highlight Jules's friction with her mother. Ben, along with some of Jules's employees, break into Jules's parents' home, in order to delete a rather nasty and embarrassing email inadvertently sent by Jules to her mother by accident.

The ""ordeal"" in the second half of the second act proves to be turbulent on the emotional level. Indeed, here it's Ben discovering that Jules's seemingly ""perfect"" husband is having an affair with a mother of one of the children their daughter is friendly with. Jules is also aware of the affair and Ben helps Jules cope with the crisis in a frank but reassuring talk while on a business trip to San Francisco.

On the ""road back,"" Jules must not only resolve the problem with her husband but decide whether to hire a CEO to replace her, which the investors of the company have been clamoring for. The marital discord is resolved when Jules's husband unexpectedly shows up at the office and has a heart to heart begging forgiveness (Jules is more than willing to forgive him). Again it's Ben's wise counsel that convinces Jules not to let the company be taken over by an outsider and potentially ruin everything she's achieved.

De Niro gives a remarkably sensitive performance as the man who steps in as a father figure at precisely the right time in order to assist the beleaguered Jules. He not only finds ""wholeness"" helping Jules and her employees but finds love with the startup's in-house masseuse (Rene Russo). There is a telling shot towards the beginning of The Intern, where Ben is waiting for hours to see Jules and it's rather sad how he's all alone, and his adventure really hasn't begun. But after Jules has resolved her situation, Ben realizes that his time at the firm is up and he's accomplished all that he wanted to do. Now he pursues his tai chi class with vigor, having achieved the spiritual integration he was seeking.

It should also be noted that the chemistry between Anne Hathaway and De Niro is palpable. There is something very warm about Hathaway's acting and her journey toward wholeness is cathartic. The Intern might have some moments of silliness, but it still touches the heart.", 1/10,"2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",30 July 2016
stevenrosendale,"Bad The question you have to ask is why does this film get a 7 / 10 on IMDb but a 5 / 10 everywhere else? This is the worst film i have ever seen. Instead of watching this film you could just as easily place a gun in your mouth and when you feel the cold steel hit the back of your throat...pull the trigger. If you find yourself on the floor and still lucid then take another shot near your temple and finish the job. It says that my review is not long enough so I will also add that I really hope Robert Deniro got paid a hell of a lot of money to demean himself in this way. At least films such as Meet the Fockers where he takes a side step from his serious acting was hilariously funny and had something to offer. This film on the other hand is aimed at an audience of 16 yr old buskers, coffee connoisseurs and activists. My girlfriend and i just switched off half way through...in her words "" this film is soft dribble """, 7/10,"15 out of 28 found this helpful. Was this review helpful? Sign in to vote.
Permalink",11 January 2016
athena-j-dennis,"Like watching a train wreck occur over an hour and a half What do you get when you combine all of the memes and clichés of our shallow, tech-obsessed post-globalisation, hipster world and then have a wise, humble, dapper and old fashioned gent (Robert De Niro) as the ever congenial retiree intern.

What's baffling is De Niro's character. He has a complete lack of anysort of antipathy or disillusionment for finding himself in that situation - being bossed around the office and managed by people who have been on this planet for a quarter of the time he has, and who are genuinely childish, stupid and unprofesional.

In the real world - this sort of business which is completely devoid of any depth or intelligence would be hard to find. Although the bad acting make this bag full of design agency clichés all the more hard to swallow. This film is like a strange alternate universe and it is indeed like watching an atomic blast slowly unfold.

Switched off twenty minutes in when I realised that these people were not behaving this way ironically, they were actually seriously attempting to portray a workplace of today.

Quite possibly the worst movie I've seen in my life.", 7/10,"22 out of 41 found this helpful. Was this review helpful? Sign in to vote.
Permalink",12 April 2016
neil-476,"Likable light drama Following the death of his wife, 70-year old Ben feels a need to recover some purpose in his life, so he joins an up-and-coming internet fashion company under their mature intern program, and finds himself assigned to founder and CEO Jules Ostin. The company has grown to the extent that Jules is overworked and overstressed, and spends insufficient time with her young daughter and husband. She is initially disinclined to use Ben's skills, but he gradually begins to prove his value to her.

I'm beginning to get used to Hollywood creating misleading trailers. The trailer for this movie sells it strongly as a comedy, and it really isn't (apart from one slapstick burglary episode, which feels as if it belongs in a different movie). Instead, what we have is a gentle – and rather unsurprising – drama, with some amusing moments, and likable performances from all concerned, with DeNiro unusually playing a character who is really rather ordinary (apart from a touch of OCD which, together with several other plot threads – Jules' mother, an office romance – goes unexplored).

DeNiro and Hathaway develop a pleasing chemistry and, if the main problems thrown up in the story get resolved a little too glibly, well, we do like a happy ending, don't we?", 8/10,"3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9 October 2015
maurice_yacowar,"Senior citizen provides salutary model in modern office and lives In The Intern Nancy Meyers engagingly blends the old and new in terms of cinema, technology and feminism.

Hero Ben is a feminist from the outset because his late wife Molly was a middle school principal, i.e., a woman who combined success in family and in administration. So Ben appreciates the old feminism as well as the new that he sees in Jules (a man's name feminized by its homonym Jewels). As Jules notes, ""It's 2015, are we really still critical of working moms?"" Well, yeah, so Ben has to teach the other playground Moms the pride they should take in Jules's success. In business Ben unpacks his glass case, clock, calculator, pens, all superannuated — before launching into the computer world. He makes friends in the flesh as well as on Facebook. However new he may be to new tech, his old savvy in business, style and human relations proves a boon to the others. One young guy buys a classic briefcase on eBay.

Robert De Niro is an affable Old Man in the New Age spirit. He actually weeps a bit, sentimental mush that he admits to being. The established old geezer occupies the same role in the casting as his character does in the plot — he's the man of experience and wisdom who provides a model for the young bloods.

De Niro could be on the list of old actors that Jules cites as the lost generation of Men: Harrison Ford, Jack Nicholson. The film clip of Gene Kelly evokes an even earlier generation of softer, romantic men, suggesting the cycle of changing styles in film manhood. De Niro even plays against his own persona, when he serves as Jules's driver and when, before his interview, he rehearses his looks in the mirror. Shades of ""You talking' to me?"" The heist scene is described as an Ocean's 11 play but it also hearkens back to De Niro's Scorsese gangster period.

As Jules, Anne Hathaway exercises her own reputation as a difficult person to work with. Her boss character here is a promotion from the harried gofer she played in The Devil Wears Prada. She's warmer and more effective than the earlier Meryl Streep character.

Jules's drunken bar speech is central: as girls have grown into women on the American social landscape men have reverted to boys. Her husband is as sloppy, effete and juvenile as Ben's workmates. The husband had a brilliant career ahead of him, prioritized Jules's to become a stay-at-home father, then slips into the tired old cliché of adulterer.

The film is sensible in playing a 70-year-old as a sane, capable person, even still capable of having a sex life. Ben's affair with Fiona is played with taste and discretion. Some might add ""hope."" The film's one weak spot is its treatment of the shorter, homelier, much more wrinkled woman who pursues Ben and gives him the finger when she sees him with Fiona. Both in script and direction Meyers shows such sensitivity and grace in this film that it's disappointing to see her lapse here into the cliché comedy of the predatory crone. Rene Russo gives Fiona a dignity and attractiveness that might have also been accorded the other woman. Instead Meyers went for the cheap laugh — in an otherwise more serious work.", 6/10,"3 out of 5 found this helpful. Was this review helpful? Sign in to vote.
Permalink",12 October 2015
sauravjoshi85,"A feel good film!! A Must watch!! The Intern is a comedy-drama film directed by Nancy Meyers. The film stars Robert De Niro, Anne Hathaway, Rene Russo, Anders Holm, Andrew Rannells, Adam DeVine, and Zack Pearlman.

A 70 year old widower applies for an internship in an online fashion site and soon becomes everyone's favorite.

This film is indeed a feel good and beautiful film which start giving you positive vibes as the film starts and gives a satisfying feeling as the film ends. The film is beautifully supported by brilliant acting by Robert De Niro and Anne Hathaway.

The plot of the film is fresh and it's execution is superb, the entire film is graceful and keeps a smile on your face and keeps you motivated. The music of the film backs the film beautifully.

The screenplay of the film is superb and makes you smile, happy, rejuvenated and might make you cry as well. Acting as mentioned earlier is superb by the lead stars and is beautifully supported by the support cast. The end of the film could've been little more refined.

A beautiful film to watch.", 5/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",18 April 2022
r96sk,"Meaningful scenes feel forced I don't necessarily dislike this film, but it has way too many cheesy/cringey moments for me to enjoy it.

Robert De Niro and Anne Hathaway are good, though a lot of their meaningful scenes feel forced due to the writing and dialogue. I would've let it slide if 'The Intern' wasn't on for two hours - that's too much cheese for me.
2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",4 March 2020
beta_zeta,"Beautiful candy rapped, but shallow movie. The whole movie had a feeling, that I'm seeing just the surface of things. Don't want to sound bitter. But. These perfect people, smiling a LOT, being nice, all forgiving,ultra loyal. Cheerful music from Sims games playing on the background. Maybe for someone this movie will be a nice, relaxing get-away-from-it-all. But I did have a feeling that the lady-boss is put out there as almost a saint. All her employees love and adore her, although she NEVER acknowledged their existence nor knew their names. All of that ""candy land"" was a little bit too much for me. For me even the amazing actors didn't save this movie. Which instead of it's intent- to make me smile, made me roll my eyes up, because I already see too much fake perfection around to add more to it.", 8/10,"18 out of 28 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 January 2016
JoBloTheMovieCritic,"The Intern 9/10 - classic Nancy Meyer flick that is super sweet and feel-good
2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 2/10,"2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",20 July 2019
shelbythuylinh,"Elders are Really Useful Robert DeNiro stars as an retiree that is bored with retirement and that he goes to work reluctantly as a senior intern hence the title to Anne Hathaway a wife and mother.

He may not be tech savvy like people of today like the Generation Z and Millennial groups. But he does offer wisdom and comfort and proves you need to give people his age a chance.

Anne's character is a married mom but also has a thriving business. Really proves you can have it all. With profession and personal life there. Take life but no yourselves seriously.", 6/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",25 November 2021
theshiptons,"Massive yawn fest the 2 stars are for De Niro, he is an actor of such high caliber that is wasted in this wishy washy flick. The premise is a good one and something that could have been taken to more places than this film did. Anne Hathaway is OK in her role but given the material she has to work with she struggles to show any brilliance. Mr De Niro is also hamstrung in his role as he seems to not be able to develop fully as a character. the drama what there is of it leaves you not really caring what happens to the people in this film. it is watchable, sadly predictable and too light and airy for my liking. Also I think the lack of a protagonist in this film is its hugest flaw. there is little serious conflict and not a lot of comedy.
16 out of 32 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 9/10,"16 out of 32 found this helpful. Was this review helpful? Sign in to vote.
Permalink",31 December 2015
meeza,"Not the best intern! I am internally grateful that you are taking a few minutes out of your day to read my cheesy review of Writer-Director Nancy Meyers' comedy ""The Intern"". I hope you make it through this puntership with flying colors. Anyways, the movie stars Robert De Niro as Ben Whittaker. Ben is a 70 year old widower who is living out retired days, but needs to fill a void. He comes across an opportunity to be an intern in a senior citizens' internship program for a start-up fashion online company. Anne Hathaway co-stars as Jules, the Founder of the company who at first is reluctant to work with an older crowd, but then takes a genuine liking to Ben as not only a dependable intern, but a father figure. Of course, there are conflicts that are incorporated into the film that causes their relationship some challenges, and Jules' own relationship with her husband. I admired how Meyers directed the first hour of the movie, but then it looked like ""The Intern"" ran out of steam during the second half with too many elongated scenes; and that is why I could not give ""The Intern"" a review promotion. I did like De Niro as Ben, and Hathaway as Jules was not too shabby either. ""The Intern"" was 2 hours long, it didn't have to be. This intern could have done it's job in a sheer 90 minutes, but it stayed for not-needed overtime; and for that I can't highly recommend for you to hire ""The Intern"" into your movie watch company. *** Average", 2/10,"1 out of 1 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2 August 2016
criste-montero,"Just made my day That kind of movies that genuinly make u happy .. hathaway and deniro chemistry are just pleasant suprise ... watch it to feel happy and have fun for 2 hours
7 out of 11 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"7 out of 11 found this helpful. Was this review helpful? Sign in to vote.
Permalink",11 August 2018
Therru_Babayaga,"No charm, no wits, no drama, nothing This is one of my most boring and horrible experiences in cinema.

At first I thought it was just going to be a little generic and predictable, but mostly harmless. A sub-par version of ""Driving Miss Daisy"" and ""The Devil wears Prada"".

Then, it entered the second part, and everything went to hell. Seriously, the last hour of this film felt like 4 or 5, easily, with stupid situations going absolutely nowhere, horrendous dialogues, no character development, no change at all in any of them, and lots of cryngy moments.

To summarize it, this film had so many sub-plot going on all at once that it couldn't decide what type of film it was. It was not a comedy, it was not a drama, it was not a romance, it had no meaning, no pay- off, nothing to say about old people working and their impact on their life and the effect on the younger generations, except for a few jokes at the beginning. De Niro character was way too happy to need to work there in the first place, and was this ""angelic"" character that everyone loves, and Hathaway was at most a stressed-out woman, nowhere near as a bad person or someone rude to her employees. In the end, the characters almost didn't change at all. At most, Anne Hathaway got to relax a bit, but that's pretty much it. There were no character arcs for any of them, and no one learns anything or changes in any way. The husband/boyfriend (don't remember if they were married or not...) is a terrible person at the beginning and was just exactly the same at the end, the little girl ""struggle"" to not see enough of her mom went absolutely nowhere, neither how the younger interns dealt with their lives...

This movie was horrible, with its stupid music underlining every little moment, with its horrible pacing that made the last hour feel like at least four, with its horrible message about relationship, with all his terrible cliché on old people and working women, and people in the larger sense.

There was no heartwarming moments at all, no character felt vulnerable in any way, or relatable at all. The dialogues were tremendously bad, going absolutely nowhere, bringing us nothing, no wit or enjoyment or comedy. Which is very bad for a film resting entirely on people talking.

One of the worst piece of trash I've seen in my life.

PS: I love Anne Hathaway and respect De Niro, and I enjoyed ""The Holyday"" from this director, so it has nothing to do with any prior prejudice against anyone in this film. If anything else, Hathaway and De Niro are the ones that made me going to this movie. Thank you, guys, really. Still like you though, actors still got to eat. Still...", 8/10,"62 out of 121 found this helpful. Was this review helpful? Sign in to vote.
Permalink",26 September 2015
Anurag-Shetty,"A simple & heartwarming tale that people of any age can relate to. The Intern tells the story of a widower named, Ben Whittaker(Robert De Niro). Apart from being a widower, Ben is also retired. One day, while going about his mundane everyday routine, he comes across a flyer. This flyer says, an up and coming online fashion website is doing a senior internship program & is looking for senior interns with years of work experience. The fashion website is founded & run by, Jules Ostin(Anne Hathaway). Ben seizes this golden opportunity to get back in the game. Ben spreads a positive attitude among his colleagues & his positive outlook, also rubs off on the usually uptight Jules.

The Intern is an outstanding film. The simplicity of the movie is what makes it so perfect. The film perfectly balances the comedic moments & the dramatic moments, & is a flawless fusion of comedy & drama. The break-in set piece is definitely one of the highlights of the movie. When the movie is funny, it's laugh-out-loud funny. However, there are several moments where the movie tugs at your heartstrings. The story of the movie might be simple however, director Nancy Meyers has done such a good job with the film that, it's this very simplicity that makes it flawless. The performances are another highlight of the film. Robert De Niro is outstanding as Ben. De Niro has starred in famous comedy films like the Meet the Parents trilogy however, his character in this film is extremely charming & likable. Very different from his role as the suspicious father-in-law in those movies. Anne Hathaway is outstanding as Jules. Hathaway gives a power packed performance & portrays all the ups & downs her character goes through, effortlessly. Rene Russo is brilliant as Fiona. Anders Holm is great as Matt. JoJo Kushner is adorable as Paige. Andrew Rannells is good as Cameron. Adam DeVine is awesome as Jason. Zack Pearlman is hilarious as Davis. Jason Orley is impressive as Lewis. Christina Scherer is amazing as Becky. Linda Lavin & Celia Weston are hysterical in their small roles as Patty & Doris. The Intern is a must watch for everyone who enjoys feel-good movies.", 1/10,"2 out of 3 found this helpful. Was this review helpful? Sign in to vote.
Permalink",1 October 2015
katkarashay,"Refreshingly a feel-good movie!! After watching series of action/thrillers I wanted something light and fun-loving, and I found out this. This film is really peacefull and a perfect family drama. Anne Hathaway and Robert de Niro's performance were very natural and subtle. The duo's chemistry is the driving force of the film. Very good writing and direction as well.
2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 7/10,"2 out of 2 found this helpful. Was this review helpful? Sign in to vote.
Permalink",17 May 2020
galladiel,"Don't waste your time! What wishy washy nonsense! Weak story, one-dimensional, boring stereotypical characters! Filled with endless clichés and improbable situations. Sickly sweet and unrealistic behavior of the main characters, far removed from reality. Why can't they make good movies anymore?! I suffered through 2 hours of it. I guess I was hoping for a miracle, for a twist that would elevate it above the level of a filler. But no, to the very end it kept the quality of adolescent slush with no depth or sophistication. I guess I can't expect more from an Anne Hathaway movie. What a waste of time! I recommend that you give this one a miss.
41 out of 83 found this helpful. Was this review helpful? Sign in to vote.
Permalink", 10/10,"41 out of 83 found this helpful. Was this review helpful? Sign in to vote.
Permalink",22 December 2015
